2026-05-23_16-12-30: Training starting...
2026-05-23_16-12-30Episode 0: New best reward -7.50, model saved.
2026-05-23_16-12-31Episode 1: New best reward -3.90, model saved.
2026-05-23_16-12-33Episode 28: New best reward -2.70, model saved.
2026-05-23_16-13-24Episode 620: New best reward -1.50, model saved.
2026-05-23_16-13-26Episode 645: New best reward 3.90, model saved.
2026-05-23_16-16-21Episode 2613: New best reward 4.80, model saved.
2026-05-23_16-17-18Episode 3211: New best reward 6.00, model saved.
2026-05-23_16-18-22Episode 3875: New best reward 6.60, model saved.
2026-05-23_16-18-56Episode 4180: New best reward 6.80, model saved.
2026-05-23_16-20-12Episode 4875: New best reward 8.40, model saved.
2026-05-23_16-38-58Episode 15584: New best reward 8.70, model saved.
2026-05-23_16-39-19Episode 15760: New best reward 10.70, model saved.
2026-05-23_16-41-42Episode 16877: New best reward 12.90, model saved.
2026-05-23_16-41-47Episode 16909: New best reward 13.70, model saved.
2026-05-23_16-42-15Episode 17093: New best reward 17.90, model saved.
2026-05-23_16-42-32Episode 17205: New best reward 22.40, model saved.
2026-05-23_16-43-16Episode 17491: New best reward 22.90, model saved.
2026-05-23_16-43-51Episode 17711: New best reward 28.00, model saved.
2026-05-23_16-44-15Episode 17847: New best reward 42.00, model saved.
2026-05-23_16-47-12Episode 18714: New best reward 64.40, model saved.
2026-05-23_16-48-41Episode 19041: New best reward 81.10, model saved.
2026-05-23_17-00-31Episode 21575: New best reward 99.80, model saved.
2026-05-23_17-04-20Episode 22251: New best reward 106.40, model saved.
2026-05-23_17-04-49Episode 22316: New best reward 108.90, model saved.
2026-05-23_17-06-21Episode 22563: New best reward 118.80, model saved.
2026-05-23_17-09-21Episode 23007: New best reward 157.90, model saved.
2026-05-23_17-47-16Episode 29030: New best reward 195.70, model saved.
2026-05-23_18-27-08Episode 34072: New best reward 206.90, model saved.
2026-05-23_18-35-33Episode 35103: New best reward 219.40, model saved.
2026-05-23_19-35-04Episode 42062: New best reward 232.40, model saved.
