number,state,value,batch_size,learning_rate_a,n_step,network_sync_rate,per_alpha,per_beta_init,sigma_init,v_max
39,COMPLETE,6.799999999999992,32,0.00021236487665958617,5,8000,0.6776598386597688,0.4397248781255414,0.4895577433253052,30.0
40,PRUNED,21.637000000000057,64,0.0003403501638333766,3,8000,0.5602547086497699,0.31715356311316967,0.3906922366584237,15.0
41,PRUNED,7.311999999999995,64,0.00013871218065826795,1,2000,0.544175662671189,0.36168966080572335,0.4043217365098122,30.0
42,PRUNED,10.177999999999995,128,0.00041026931283316275,3,500,0.676371451332871,0.33974134921236576,0.40633142770953545,15.0
43,COMPLETE,2.0000000000000013,32,0.000473279710647885,3,1000,0.6823794376265657,0.39616020926238243,0.5442783153169549,15.0
44,COMPLETE,2.0000000000000013,32,0.00023157643458741127,3,2000,0.5173893275696457,0.3884718505194309,0.40081347926029093,20.0
45,PRUNED,42.597999999999814,64,0.0004588167957388718,3,1000,0.6005322949146165,0.3529177444468309,0.3158831977158738,30.0
46,PRUNED,45.71299999999962,32,0.00037357220387748864,3,500,0.6213296154739774,0.4108497411886701,0.5399843110778405,15.0
47,COMPLETE,2.0000000000000013,32,0.0002807191397777272,3,2000,0.5097590560052864,0.3223276340431529,0.42084635571602474,20.0
48,PRUNED,43.19999999999968,32,0.0002857170805886387,3,2000,0.5177683723778653,0.3463187214052152,0.3392052804000609,20.0
49,PRUNED,46.71399999999975,32,0.0003558403911905597,3,2000,0.5293741562771304,0.3609202550310127,0.3452702910129047,20.0
50,COMPLETE,2.0000000000000013,64,5.976867584826757e-05,3,2000,0.6969958841134106,0.31501114961943316,0.37822901660561054,20.0
51,COMPLETE,36.600000000000215,64,7.386173597938775e-05,5,2000,0.631029149101318,0.3433121301834294,0.394638705568906,30.0
52,PRUNED,-2.823,32,0.0002752647803801573,1,8000,0.6731399530300433,0.32389955782140994,0.46977864063101454,20.0
53,PRUNED,10.635000000000002,64,7.347601788657056e-05,3,2000,0.5175815497041688,0.3013956179574143,0.3325677624293154,30.0
54,PRUNED,42.932999999999765,64,0.00019774600848008876,3,2000,0.6680272165787406,0.3661834915601923,0.31887221507285013,20.0
55,PRUNED,12.936000000000021,32,0.0002877309468096593,3,2000,0.6697769311875575,0.3154714632714758,0.4410304713931725,20.0
56,PRUNED,49.1019999999997,32,0.0001357984905405192,3,8000,0.6132059787464113,0.3632982771481571,0.3647653456383521,20.0
