2026-06-26_11-44-34: Training starting...
Device: cuda
2026-06-26_11-44-42 Episode 0: New best reward 3.90, training model saved.
2026-06-26_11-44-44 Episode 0: New best greedy reward 2.00, model saved.
2026-06-26_11-44-46 Episode 3: New best reward 4.90, training model saved.
2026-06-26_11-44-50 Episode 10: New best reward 8.90, training model saved.
2026-06-26_11-50-03 Episode 640: New best reward 10.80, training model saved.
2026-06-26_11-58-23 Episode 1600: New best greedy reward 3.90, model saved.
2026-06-26_12-00-45 Episode 1660: New best reward 17.90, training model saved.
2026-06-26_12-02-01 Episode 1680: New best reward 28.00, training model saved.
2026-06-26_12-03-15 Episode 1694: New best reward 55.70, training model saved.
2026-06-26_12-04-34 Episode 1698: New best reward 130.60, training model saved.
2026-06-26_12-05-16 Episode 1700: New best greedy reward 15.50, model saved.
2026-06-26_12-06-34 Episode 1701: New best reward 219.40, training model saved.
2026-06-26_12-08-47 Episode 1705: New best reward 223.90, training model saved.
2026-06-26_12-11-20 Episode 1707: New best reward 328.80, training model saved.
2026-06-26_12-26-08 Episode 1734: New best reward 414.40, training model saved.
2026-06-26_12-39-04 Episode 1750: New best reward 485.30, training model saved.
2026-06-26_12-58-30 Episode 1774: New best reward 1299.20, training model saved.
2026-06-26_14-40-11 Episode 1900: New best greedy reward 81.20, model saved.
