2026-08-12_12-09-29: Training starting...
Device: cuda
2026-08-12_12-09-36 Episode 0: New best reward -8.10, training model saved.
2026-08-12_12-09-38 Episode 0: New best greedy reward 2.00, model saved.
2026-08-12_12-09-38 Episode 1: New best reward -5.70, training model saved.
2026-08-12_12-10-09 Episode 81: New best reward -2.10, training model saved.
2026-08-12_12-11-27 Episode 299: New best reward 0.90, training model saved.
2026-08-12_12-11-48 Episode 358: New best reward 1.50, training model saved.
2026-08-12_12-11-49 Episode 360: New best reward 3.90, training model saved.
2026-08-12_12-11-57 Episode 382: New best reward 4.50, training model saved.
2026-08-12_12-14-01 Episode 726: New best reward 6.80, training model saved.
2026-08-12_12-15-12 Episode 919: New best reward 8.40, training model saved.
2026-08-12_12-17-10 Episode 1238: New best reward 8.80, training model saved.
2026-08-12_12-17-16 Episode 1251: New best reward 8.90, training model saved.
2026-08-12_12-18-54 Episode 1487: New best reward 9.00, training model saved.
2026-08-12_12-18-57 Episode 1492: New best reward 9.20, training model saved.
2026-08-12_12-19-09 Episode 1518: New best reward 11.30, training model saved.
2026-08-12_12-20-01 Episode 1629: New best reward 12.90, training model saved.
2026-08-12_12-20-04 Episode 1634: New best reward 13.60, training model saved.
2026-08-12_12-21-56 Episode 1851: New best reward 18.30, training model saved.
2026-08-12_12-23-24 Episode 2000: New best greedy reward 8.90, model saved.
2026-08-12_12-23-57 Episode 2053: New best reward 32.40, training model saved.
2026-08-12_12-24-43 Episode 2112: New best reward 37.10, training model saved.
2026-08-12_12-25-45 Episode 2190: New best reward 43.50, training model saved.
2026-08-12_12-26-10 Episode 2214: New best reward 55.40, training model saved.
2026-08-12_12-27-02 Episode 2265: New best reward 62.50, training model saved.
2026-08-12_12-28-18 Episode 2323: New best reward 74.60, training model saved.
2026-08-12_12-29-25 Episode 2373: New best reward 85.80, training model saved.
2026-08-12_12-30-32 Episode 2418: New best reward 88.30, training model saved.
2026-08-12_12-30-49 Episode 2426: New best reward 90.80, training model saved.
2026-08-12_12-31-04 Episode 2428: New best reward 242.50, training model saved.
2026-08-12_12-38-05 Episode 2574: New best reward 265.70, training model saved.
2026-08-12_12-39-59 Episode 2604: New best reward 347.30, training model saved.
2026-08-12_12-41-53 Episode 2625: New best reward 449.70, training model saved.
2026-08-12_12-42-53 Episode 2635: New best reward 482.30, training model saved.
2026-08-12_12-56-51 Episode 2770: New best reward 517.00, training model saved.
2026-08-12_13-00-13 Episode 2795: New best reward 656.90, training model saved.
2026-08-12_13-10-06 Episode 2878: New best reward 670.90, training model saved.
2026-08-12_13-23-47 Episode 2977: New best reward 776.80, training model saved.
2026-08-12_13-26-39 Episode 2993: New best reward 848.60, training model saved.
2026-08-12_13-27-57 Episode 3000: New best greedy reward 342.80, model saved.
2026-08-12_13-35-20 Episode 3048: New best reward 1098.80, training model saved.
2026-08-12_13-38-14 Episode 3056: New best reward 1156.70, training model saved.
2026-08-12_13-40-27 Episode 3059: New best reward 1763.40, training model saved.
2026-08-12_15-22-07 Episode 3404: New best reward 2363.10, training model saved.
2026-08-12_15-26-21 Episode 3407: New best reward 2378.90, training model saved.
2026-08-12_15-53-54 Episode 3498: New best reward 2682.40, training model saved.
2026-08-12_16-05-08 Episode 3513: New best reward 6661.20, training model saved.
2026-08-12_19-30-25 Episode 4000: New best greedy reward 2140.90, model saved.
2026-08-13_04-25-49 Episode 4974: New best reward 11044.90, training model saved.
2026-08-13_05-10-56 Episode 5000: New best greedy reward 7496.80, model saved.
2026-08-13_08-10-59 Episode 5187: LR reached floor 1.00e-05 (step 10002432), holding.
2026-08-13_11-41-54 Episode 5287: New best reward 12604.60, training model saved.
