number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
0,COMPLETE,6.099999999999994,0.3,0.02429939645048051,0.9198969051716942,512,0.0003239674401038826,256,3,1024,0.9055036299625272
1,PRUNED,3.780999999999998,0.2,0.02038045353562835,0.9416513064031572,512,0.0001602714334244545,128,10,4096,0.8531441770841948
2,COMPLETE,8.999999999999984,0.2,0.007135743402824184,0.960460903690587,512,4.8371095142310264e-05,64,6,1024,0.5734045597310806
3,PRUNED,4.964999999999995,0.3,0.009813659299274706,0.9554844973678144,256,0.0005547922989640931,64,4,2048,0.8083180597291513
4,COMPLETE,6.699999999999992,0.3,0.024017548054820585,0.9889422248442291,512,2.7172336863723165e-05,256,3,2048,0.5314306594582165
5,PRUNED,3.727999999999997,0.1,0.021394641515881208,0.9798001859635265,256,7.50350350518468e-05,64,10,4096,0.8401255870920961
6,COMPLETE,17.25,0.3,0.006732372510495855,0.9859543611888091,256,4.4331389471392114e-05,128,3,4096,0.6413139401642728
7,PRUNED,5.571999999999994,0.3,0.01661963212215121,0.9464345335626679,512,0.0007284892866810838,256,6,2048,0.5333812716923066
8,COMPLETE,32.575000000000166,0.1,0.010478932961520377,0.9862290102294764,256,4.260224762007935e-05,64,4,4096,0.46204880709609086
9,PRUNED,4.285999999999997,0.2,0.02434558209198964,0.9530569835974726,512,0.00015915037523873878,256,4,4096,0.3879025767376121
10,PRUNED,3.659999999999998,0.2,0.023984331809622485,0.9611225605784084,256,1.0089998851925927e-05,64,3,2048,0.3260556551150413
11,PRUNED,1.927999999999999,0.3,0.01538844736324738,0.9599136599623025,256,0.0004741942260504253,64,10,2048,0.7724260158519182
12,PRUNED,4.197999999999997,0.2,0.025122448202083224,0.9469924311559322,512,1.1528817200934091e-05,128,10,2048,0.3154889028846685
13,PRUNED,4.484999999999997,0.1,0.01927111852387095,0.974727040029785,512,2.252001705118523e-05,128,4,4096,0.9243639338829008
14,COMPLETE,7.4499999999999895,0.3,0.043863405267872586,0.9073661077418836,256,0.00048476455026202957,256,4,2048,0.43098659477371043
15,PRUNED,4.109999999999997,0.3,0.03393735732048651,0.9514791324412897,512,2.2802256696181258e-05,256,10,4096,0.44684508878012563
16,COMPLETE,2.0000000000000013,0.2,0.008033356742826724,0.9804878421100517,512,0.0002487443784374097,256,4,2048,0.7472636276484722
17,PRUNED,3.874999999999998,0.2,0.00555611536988183,0.9082248533279966,512,0.000669026400300999,256,6,4096,0.7411168669251462
18,PRUNED,4.601999999999996,0.3,0.02986832471737877,0.9288931270589071,256,1.1349900698364175e-05,128,4,4096,0.3157787124088868
19,PRUNED,4.073999999999998,0.2,0.00673477517234144,0.9842182148281292,512,0.0007153136958267714,256,10,2048,0.36226691783688747
20,PRUNED,9.513999999999992,0.2,0.007204860598548128,0.9307727159469948,512,0.00011341748540601916,128,10,1024,0.4306278317166493
21,PRUNED,12.605000000000018,0.3,0.021054676181447393,0.9553913901276314,512,0.00029462631681210566,256,4,4096,0.3071209745622245
22,PRUNED,7.38999999999999,0.1,0.036490120670355945,0.9729614751949445,512,1.863399987073861e-05,128,4,4096,0.9818970552524243
23,PRUNED,4.472999999999996,0.3,0.02550511304297153,0.9562319056751921,256,4.45654523579175e-05,128,4,4096,0.32390028822832084
24,PRUNED,5.922999999999994,0.3,0.025406639116257044,0.9323950369045416,256,3.830050332795463e-05,128,4,4096,0.4480267514383655
25,PRUNED,4.413999999999996,0.1,0.024519053919995433,0.9729709456083996,512,1.9654697242299607e-05,128,4,4096,0.8803929997846125
26,PRUNED,5.235999999999994,0.3,0.042246232683578654,0.9054939751773796,256,2.28691346048263e-05,128,4,2048,0.35768528456482307
27,PRUNED,3.6549999999999967,0.3,0.029170281860732943,0.9367280307747042,512,0.00030859336644877065,64,3,1024,0.9853861988135771
28,COMPLETE,10.699999999999982,0.3,0.031879874662859686,0.9061337969729207,512,0.00025763786157251614,256,3,1024,0.8640046190445013
29,PRUNED,3.6389999999999985,0.3,0.01467265673491522,0.9813230395771463,512,1.2881293429827968e-05,256,3,2048,0.492974669618344
30,PRUNED,3.8989999999999974,0.3,0.014665451956682536,0.9751908859277062,512,3.2526702092179154e-05,256,3,2048,0.6836585524575967
31,PRUNED,3.8419999999999974,0.3,0.02586657472438483,0.9874330609823161,512,1.4592291140837789e-05,256,6,2048,0.5255271055701443
32,PRUNED,11.668,0.1,0.009941542131536049,0.9738257688282731,256,2.8299697161489093e-05,64,4,4096,0.49963318037839854
33,COMPLETE,10.97499999999998,0.2,0.009556349767081633,0.9701451028031971,512,6.822167990867935e-05,64,6,1024,0.5560781019794212
34,COMPLETE,9.649999999999983,0.2,0.009335947542651166,0.9541759387518808,512,3.857450918821222e-05,64,6,1024,0.6572334295961986
35,PRUNED,5.8179999999999925,0.3,0.0058330232713782616,0.975649689897306,256,4.1941881573286394e-05,128,3,4096,0.5479880278734814
36,PRUNED,3.9499999999999975,0.3,0.009376299870915353,0.987325644955366,256,6.654499690000586e-05,128,3,4096,0.679397134870272
37,PRUNED,2.718999999999998,0.1,0.010198056440172146,0.9786908079072324,256,2.4134233847674978e-05,64,4,4096,0.3935753221726809
