episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
71,3600,36.2,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
72,3650,36.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
73,3700,37.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
74,3750,37.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
75,3800,37.7,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
76,3850,38.1,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
77,3900,38.4,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
78,3950,38.8,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
79,4000,39.2,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
80,4050,39.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
81,4100,39.9,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
82,4150,40.3,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
83,4200,40.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
84,4250,41.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
85,4300,41.4,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
86,4350,42.2,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
87,4400,42.6,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
88,4450,43.0,rainbow_cnn_dqn,,-2.7,,50,0,,,,,,,,,,,
89,4500,43.4,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
90,4550,43.8,rainbow_cnn_dqn,,-6.9,,50,0,,,,,,,,,,,
91,4600,44.1,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
92,4650,44.5,rainbow_cnn_dqn,,-4.5,,50,0,,,,,,,,,,,
93,4700,44.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
94,4750,45.3,rainbow_cnn_dqn,,-0.9,,50,0,,,,,,,,,,,
95,4800,45.7,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
96,4850,46.0,rainbow_cnn_dqn,,-2.1,,50,0,,,,,,,,,,,
97,4900,46.4,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
98,4950,46.8,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
99,5000,47.1,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
100,5050,47.5,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
101,5100,47.9,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
102,5150,48.3,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
103,5200,48.6,rainbow_cnn_dqn,,-3.9,,50,0,,,,,,,,,,,
104,5250,49.0,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
105,5300,49.4,rainbow_cnn_dqn,,-1.5,,50,0,,,,,,,,,,,
106,5350,49.7,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
107,5400,50.1,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
108,5450,50.5,rainbow_cnn_dqn,,-3.3,,50,0,,,,,,,,,,,
109,5500,50.9,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
110,5550,51.2,rainbow_cnn_dqn,,-5.7,,50,0,,,,,,,,,,,
111,5600,51.6,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
112,5650,52.0,rainbow_cnn_dqn,,-5.1,,50,0,,,,,,,,,,,
113,5700,52.6,rainbow_cnn_dqn,,-7.5,,50,0,,,,,,,,,,,
114,5750,53.0,rainbow_cnn_dqn,,-6.3,,50,0,,,,,,,,,,,
