2026-06-26_15-38-02: Training starting...
Device: cuda
2026-06-26_15-38-10 Episode 0: New best reward 3.90, training model saved.
2026-06-26_15-38-12 Episode 0: New best greedy reward 2.00, model saved.
2026-06-26_15-38-14 Episode 3: New best reward 4.90, training model saved.
2026-06-26_15-38-17 Episode 10: New best reward 8.90, training model saved.
2026-06-26_15-43-05 Episode 640: New best reward 10.80, training model saved.
2026-06-26_15-52-06 Episode 1700: New best greedy reward 3.90, model saved.
2026-06-26_15-52-52 Episode 1751: New best reward 27.90, training model saved.
2026-06-26_15-53-22 Episode 1772: New best reward 29.60, training model saved.
2026-06-26_15-53-51 Episode 1788: New best reward 52.90, training model saved.
2026-06-26_15-54-21 Episode 1800: New best greedy reward 22.90, model saved.
2026-06-26_15-54-35 Episode 1807: New best reward 65.00, training model saved.
2026-06-26_15-55-15 Episode 1815: New best reward 65.10, training model saved.
2026-06-26_15-55-45 Episode 1822: New best reward 79.50, training model saved.
2026-06-26_15-57-01 Episode 1829: New best reward 291.10, training model saved.
2026-06-26_15-59-41 Episode 1835: New best reward 398.80, training model saved.
2026-06-26_16-02-35 Episode 1837: New best reward 939.60, training model saved.
2026-06-26_16-18-38 Episode 1851: New best reward 1420.80, training model saved.
2026-06-26_16-23-14 Episode 1858: New best reward 1496.90, training model saved.
2026-06-26_17-46-05 Episode 1977: New best reward 1851.90, training model saved.
2026-06-26_18-08-41 Episode 2000: New best greedy reward 179.10, model saved.
2026-06-26_19-26-11 Episode 2100: New best greedy reward 326.50, model saved.
2026-06-26_21-29-12 Episode 2233: New best reward 1860.90, training model saved.
2026-06-26_23-40-28 Episode 2392: New best reward 1861.80, training model saved.
2026-06-27_00-01-32 Episode 2417: New best reward 2075.90, training model saved.
2026-06-27_02-39-52 Episode 2600: New best greedy reward 710.90, model saved.
2026-06-27_03-05-49 Episode 2633: New best reward 2365.60, training model saved.
2026-06-27_07-49-36 Episode 2911: New best reward 2847.10, training model saved.
