2026-06-27_19-07-03: Training starting...
Device: cuda
2026-06-27_19-07-10 Episode 0: New best reward 3.90, training model saved.
2026-06-27_19-07-13 Episode 0: New best greedy reward 2.00, model saved.
2026-06-27_19-07-14 Episode 3: New best reward 4.90, training model saved.
2026-06-27_19-07-18 Episode 10: New best reward 8.90, training model saved.
2026-06-27_19-12-04 Episode 522: New best reward 10.60, training model saved.
2026-06-27_19-12-22 Episode 538: New best reward 12.90, training model saved.
2026-06-27_19-12-32 Episode 546: New best reward 13.30, training model saved.
2026-06-27_19-12-35 Episode 547: New best reward 18.20, training model saved.
2026-06-27_19-12-38 Episode 548: New best reward 20.40, training model saved.
2026-06-27_19-13-17 Episode 576: New best reward 25.30, training model saved.
2026-06-27_19-13-59 Episode 600: New best greedy reward 6.50, model saved.
2026-06-27_19-14-22 Episode 612: New best reward 32.30, training model saved.
2026-06-27_19-14-28 Episode 613: New best reward 36.90, training model saved.
2026-06-27_19-14-52 Episode 621: New best reward 37.30, training model saved.
2026-06-27_19-15-17 Episode 628: New best reward 48.10, training model saved.
2026-06-27_19-15-43 Episode 636: New best reward 57.80, training model saved.
2026-06-27_19-15-58 Episode 637: New best reward 107.00, training model saved.
2026-06-27_19-16-18 Episode 638: New best reward 140.00, training model saved.
2026-06-27_19-17-59 Episode 650: New best reward 165.30, training model saved.
2026-06-27_19-19-51 Episode 656: New best reward 421.80, training model saved.
2026-06-27_19-31-41 Episode 688: New best reward 498.40, training model saved.
2026-06-27_19-35-45 Episode 699: New best reward 608.80, training model saved.
2026-06-27_19-36-35 Episode 700: New best greedy reward 400.40, model saved.
2026-06-27_19-49-44 Episode 736: New best reward 925.80, training model saved.
2026-06-27_20-12-27 Episode 803: New best reward 1212.40, training model saved.
2026-06-27_21-10-38 Episode 948: New best reward 1380.40, training model saved.
2026-06-27_21-31-10 Episode 1000: New best greedy reward 606.60, model saved.
2026-06-27_22-15-15 Episode 1100: New best greedy reward 622.30, model saved.
2026-06-27_23-46-48 Episode 1257: New best reward 1563.50, training model saved.
2026-06-28_00-01-10 Episode 1279: New best reward 1761.10, training model saved.
2026-06-28_00-43-24 Episode 1341: New best reward 2136.40, training model saved.
2026-06-28_03-44-26 Episode 1644: LR reduced 6.25e-05 → 3.13e-05
2026-06-28_04-32-55 Episode 1683: New best reward 2171.20, training model saved.
2026-06-28_05-55-44 Episode 1744: New best reward 2644.90, training model saved.
2026-06-28_07-21-52 Episode 1823: New best reward 3518.70, training model saved.
2026-06-28_07-32-24 Episode 1828: New best reward 3602.30, training model saved.
2026-06-28_08-07-51 Episode 1858: New best reward 4082.40, training model saved.
2026-06-28_15-32-46 Episode 2254: LR reduced 3.13e-05 → 1.56e-05
2026-06-28_18-04-28 Episode 2359: New best reward 4250.70, training model saved.
