2026-05-24_21-18-59: Training starting...
2026-05-24_21-19-00Episode 0: New best reward -6.30, model saved.
2026-05-24_21-19-00Episode 0: New best greedy reward 2.00, model saved.
2026-05-24_21-19-05Episode 49: New best reward -5.70, model saved.
2026-05-24_21-19-05Episode 53: New best reward -5.10, model saved.
2026-05-24_21-19-10Episode 94: New best reward -0.30, model saved.
2026-05-24_21-20-10Episode 747: New best reward 1.50, model saved.
2026-05-24_21-20-26Episode 913: New best reward 2.70, model saved.
2026-05-24_21-20-49Episode 1151: New best reward 3.90, model saved.
2026-05-24_21-22-25Episode 2155: New best reward 4.00, model saved.
2026-05-24_21-23-56Episode 3076: New best reward 4.20, model saved.
2026-05-24_21-24-13Episode 3246: New best reward 4.70, model saved.
2026-05-24_21-24-25Episode 3364: New best reward 6.00, model saved.
2026-05-24_21-24-30Episode 3406: New best reward 6.10, model saved.
2026-05-24_21-25-16Episode 3860: New best reward 6.20, model saved.
2026-05-24_21-25-25Episode 3941: New best reward 6.40, model saved.
2026-05-24_21-35-58Episode 10000: New best greedy reward 3.90, model saved.
2026-05-24_22-21-23Episode 33603: New best reward 6.50, model saved.
2026-05-24_22-21-31Episode 33650: New best reward 6.60, model saved.
2026-05-24_22-21-42Episode 33731: New best reward 6.70, model saved.
2026-05-24_22-21-56Episode 33823: New best reward 6.80, model saved.
2026-05-24_22-22-14Episode 33944: New best reward 8.40, model saved.
2026-05-24_22-22-41Episode 34118: New best reward 12.90, model saved.
2026-05-24_22-24-19Episode 34703: New best reward 13.80, model saved.
2026-05-24_22-24-24Episode 34722: New best reward 26.90, model saved.
2026-05-24_22-25-18Episode 34973: New best reward 27.60, model saved.
2026-05-24_22-25-36Episode 35040: New best reward 29.30, model saved.
2026-05-24_22-25-45Episode 35066: New best reward 48.80, model saved.
2026-05-24_22-26-01Episode 35117: New best reward 50.80, model saved.
2026-05-24_22-27-47Episode 35502: New best reward 64.80, model saved.
2026-05-24_22-28-07Episode 35557: New best reward 101.90, model saved.
2026-05-24_22-37-54Episode 37406: New best reward 110.90, model saved.
2026-05-24_22-44-30Episode 38375: New best reward 123.20, model saved.
2026-05-24_22-45-22Episode 38481: New best reward 137.10, model saved.
2026-05-24_22-55-38Episode 39858: New best reward 148.40, model saved.
2026-05-24_22-58-09Episode 40000: New best greedy reward 1874.90, model saved.
2026-05-24_23-01-46Episode 40485: New best reward 155.30, model saved.
2026-05-24_23-09-52Episode 41458: New best reward 172.70, model saved.
2026-05-24_23-11-29Episode 41689: New best reward 190.40, model saved.
2026-05-24_23-50-43Episode 46813: New best reward 216.10, model saved.
2026-05-25_00-22-20Episode 50115: New best reward 232.40, model saved.
2026-05-25_04-13-08Episode 75012: New best reward 242.80, model saved.
2026-05-25_05-01-50Episode 79929: New best reward 249.30, model saved.
