number,state,value,clip_eps,ent_coef,gae_lambda,hidden_dim,learning_rate_a,minibatch_size,ppo_epochs,rollout_steps,vf_coef
0,COMPLETE,129.81333333333447,0.2,0.0016808755347247806,0.9070923752738085,256,0.00037688500885821275,64,3,4096,0.3955652766779405
1,PRUNED,6.661999999999991,0.3,0.0011315821256234861,0.9436987029157912,512,1.6613934370483104e-05,128,3,1024,0.35683680726023587
2,PRUNED,9.29099999999999,0.3,0.0013737728450511897,0.922743298864605,256,6.46144144021424e-05,128,4,1024,0.6861662410263101
3,PRUNED,5.678999999999995,0.1,0.0012251792081709634,0.9321888053050741,256,1.0345841747350465e-05,128,3,2048,0.3011128205020684
4,PRUNED,5.0209999999999955,0.2,0.032879438303679204,0.988520337211566,256,2.1333196765945934e-05,64,4,2048,0.6373017803396925
5,PRUNED,4.0989999999999975,0.3,0.0061576346142021305,0.9481599630801878,512,0.00031341848144222467,128,4,4096,0.390746640570724
6,PRUNED,2.5349999999999993,0.1,0.02517914592533864,0.9062914744567545,512,9.585184919888798e-05,256,4,4096,0.8576429895778654
7,PRUNED,33.71599999999999,0.3,0.0016331505960556806,0.9279859083289923,256,2.789036481406449e-05,128,6,1024,0.8924191494222637
8,PRUNED,41.676999999999886,0.2,0.011124461544139095,0.9658383184467086,512,8.301914738609229e-05,64,4,2048,0.6847721692385005
9,COMPLETE,34.17333333333328,0.1,0.002057205309670122,0.9374907881778376,512,0.0004087614746302532,128,3,4096,0.7490674648881772
10,COMPLETE,34.3500000000001,0.2,0.0025945254900568357,0.9695326951876044,256,0.00027778977278219606,128,3,2048,0.8056473072553085
11,COMPLETE,6.623333333333326,0.2,0.007757352281245099,0.9750186486551465,512,0.00029334831704227966,256,4,4096,0.7811347435875295
12,PRUNED,6.418999999999992,0.1,0.010600785797456104,0.9666400807865898,256,0.00023534170357248092,256,6,4096,0.44732739679629185
13,PRUNED,6.711999999999993,0.1,0.028396561177443685,0.9568252325058119,256,0.0008704238886134953,128,4,4096,0.7971326892425012
14,PRUNED,9.30099999999999,0.3,0.004593498398808993,0.9273847602991977,256,5.066014716934844e-05,64,4,2048,0.6989291782049174
15,PRUNED,4.033999999999998,0.3,0.04629546586824404,0.9634119966827801,512,8.535298862181856e-05,128,6,4096,0.5894816473363029
16,PRUNED,11.668,0.2,0.007318993665721215,0.9751645035026797,512,0.00011390604013232408,64,3,2048,0.7396115204005579
17,PRUNED,4.0829999999999975,0.2,0.0012233331012223415,0.9658646390554353,512,1.7202818645449335e-05,128,4,4096,0.6947527773805526
18,PRUNED,6.0329999999999915,0.2,0.039467268393250265,0.9870337887314944,512,0.0008645219161576548,128,4,1024,0.908173494521368
19,PRUNED,7.198999999999992,0.1,0.0041089198722367585,0.9375429548084496,256,0.00012761556811796815,64,10,2048,0.5100332993277485
20,PRUNED,5.807999999999995,0.1,0.010457492434117577,0.9494601845560285,512,3.072323664027242e-05,128,10,4096,0.9470534572094202
21,PRUNED,4.408999999999997,0.3,0.0011973616614400942,0.9244194869611432,256,0.0001121960974490687,256,4,4096,0.5055310738345469
22,PRUNED,7.982999999999992,0.1,0.02031329910837682,0.9561534525745826,256,8.639930939244313e-05,64,6,4096,0.3980338226336188
23,PRUNED,6.061999999999994,0.2,0.03190576206769872,0.9543790577067998,512,2.600178909758933e-05,64,4,2048,0.8686864197931949
24,PRUNED,59.799999999999926,0.1,0.002833207982593123,0.9647191449710656,512,0.00023028699112694528,256,6,4096,0.7568415089282368
25,PRUNED,4.332999999999997,0.2,0.018510502381764826,0.9841926777835561,256,0.0002320792243322195,128,4,4096,0.8759411049482145
26,PRUNED,1.2229999999999999,0.1,0.042364794306249336,0.9698005931394497,256,0.00029489507645808096,128,4,4096,0.8759475323550062
27,PRUNED,36.52900000000001,0.1,0.04589480886616082,0.9672967207133094,256,0.0006681597637100072,256,4,4096,0.7717428358478652
28,PRUNED,1.06,0.1,0.011228650366892558,0.9342309191147526,256,0.0008890748758876766,64,4,4096,0.8750869658065272
29,PRUNED,3.145999999999998,0.1,0.00807287950665976,0.9634736405877722,256,0.00024935624686674406,256,10,4096,0.36635489716333425
30,PRUNED,3.4629999999999974,0.1,0.011009451850431165,0.9595114411107113,256,0.00011425440766479578,256,10,4096,0.41253240715542944
31,PRUNED,11.066000000000017,0.1,0.015149194830937839,0.9572410631186834,256,0.0005182312616082562,128,6,4096,0.3670236911590345
32,PRUNED,3.175999999999998,0.1,0.011295992308336644,0.9427299210971876,256,0.0005690350168258358,256,6,4096,0.35378573033256333
33,PRUNED,5.767999999999995,0.1,0.04690469395609658,0.9395306415686235,256,9.434899902180033e-05,64,6,4096,0.4853480795316763
34,PRUNED,73.82599999999906,0.1,0.007444909908801611,0.9393102072392261,256,0.0005820612248112146,128,4,2048,0.6217091438567695
35,PRUNED,16.410000000000025,0.1,0.03964206345800323,0.9675715755833589,256,4.401731080352121e-05,64,6,4096,0.6695093049638865
36,PRUNED,2.6219999999999994,0.1,0.030106818485104665,0.9342587679010879,256,1.8123637802053497e-05,64,6,4096,0.43314330882222113
37,PRUNED,4.973999999999995,0.1,0.0316446634069172,0.972667642127618,256,0.00010258622783829735,64,3,4096,0.5631204547641512
38,PRUNED,0.9869999999999979,0.3,0.026207492519439546,0.9719908379135886,256,0.0001484220756544765,64,6,4096,0.3904710479457369
39,PRUNED,3.9799999999999973,0.3,0.0014412996603021466,0.9420694876102116,512,2.112187819550637e-05,128,3,1024,0.3129273085205919
40,PRUNED,4.910999999999996,0.3,0.0012219955762524037,0.943055103881654,512,2.0869307685449093e-05,128,3,1024,0.35388475546228665
41,PRUNED,4.111999999999997,0.3,0.0016643195849623891,0.9395638544969936,512,1.1564045397930313e-05,128,3,1024,0.5330543055319297
42,PRUNED,3.0459999999999985,0.1,0.001263036671840462,0.9367140256132481,256,1.0008625545952133e-05,128,4,2048,0.4202027488985582
43,PRUNED,3.3999999999999977,0.1,0.0014100496054697213,0.932258415313173,256,2.493395660132814e-05,128,3,2048,0.3439410880977891
44,PRUNED,3.246999999999998,0.1,0.002803601330158037,0.9306904629088552,512,0.0005864266510158173,128,3,4096,0.7401001745751896
45,PRUNED,38.45299999999984,0.2,0.0017873287244707398,0.972556973641213,256,0.00032776455782496165,128,3,2048,0.7283732637959772
46,PRUNED,7.59799999999999,0.2,0.001355332418391578,0.9807035999703685,256,0.00017902910668469692,128,3,2048,0.9952122909732948
47,COMPLETE,27.353333333333403,0.2,0.0022081746859821064,0.9715863043256013,256,0.00025240921409098554,128,3,2048,0.7577052079228507
48,PRUNED,3.015999999999998,0.2,0.0013422649895018794,0.9352741052912894,256,0.000577002336644699,64,3,4096,0.4414462033005644
49,PRUNED,18.279000000000053,0.2,0.0013238262440949528,0.9725677655701819,256,0.00016785971685341516,128,3,2048,0.8008189880363586
50,COMPLETE,63.86666666666597,0.1,0.0020337670406774815,0.935044324178429,512,0.0004989332917854357,128,3,4096,0.8126994414207385
51,PRUNED,18.91500000000003,0.2,0.0010284037004643937,0.9049625502490993,256,0.0007019547612360084,64,3,4096,0.36307357464985246
52,PRUNED,53.96900000000009,0.2,0.002304685971980157,0.9589270274147025,256,0.0007365792844079784,128,3,2048,0.66493299525815
53,PRUNED,12.53600000000001,0.2,0.005207579190654347,0.9723607221609795,512,0.0005524018865883348,256,4,4096,0.7635394080870971
54,PRUNED,16.211000000000034,0.2,0.00454818008796108,0.9528275729073046,256,0.00032614169264574426,128,3,2048,0.8332212248043971
55,PRUNED,25.865000000000045,0.2,0.020328806116028452,0.97977675801945,512,0.0007776819019098292,256,4,4096,0.6608331921261444
56,PRUNED,7.6409999999999885,0.1,0.005057371406747764,0.9599632283000735,512,0.0002629625793730934,256,6,4096,0.847525649234179
57,PRUNED,43.021999999999814,0.2,0.01141244777120865,0.973021232518693,512,0.000579301764580718,256,4,4096,0.8305670753130269
58,PRUNED,6.4909999999999926,0.1,0.00182694889413027,0.9697018536661015,512,0.00013397835356630233,256,6,4096,0.6815518475818301
59,PRUNED,21.289000000000055,0.1,0.002809334446259418,0.9702368779053779,512,0.0001902078029832471,64,6,4096,0.8185150706550091
