episode,total_steps,wall_s,algo,level,return_scaled,return_raw,length,secondary,x_pos_max,covered_px,pages,flag_get,death_cause,warped,time_left,coins,score,areas,max_area
52,16719,147.2,ppo_cnn,3-1,18.2667,273.0,117,1.0,354,314,1,False,enemy,False,376,0,0,1,1
53,16987,149.3,ppo_cnn,4-1,41.1333,617.0,268,2.0,712,672,2,False,enemy,False,346,2,400,1,1
54,17043,149.7,ppo_cnn,1-3,14.2667,214.0,56,0.0,282,242,0,False,pit,False,289,0,0,1,4
55,17303,151.8,ppo_cnn,2-1,29.1333,436.0,260,1.0,531,491,1,False,enemy,False,347,0,1300,1,1
56,18292,159.3,ppo_cnn,2-1,43.4667,652.0,989,3.0,892,880,3,False,enemy,False,202,1,900,1,1
57,18349,159.7,ppo_cnn,1-1,14.1333,212.0,57,0.0,279,239,0,False,enemy,False,389,0,0,1,1
58,18405,160.2,ppo_cnn,1-3,21.2667,319.0,56,1.0,385,378,1,False,pit,False,289,0,0,1,4
59,19637,169.5,ppo_cnn,1-1,58.2,873.0,1232,4.0,1149,1109,4,False,pit,False,156,1,1600,1,1
60,19698,170.0,ppo_cnn,2-1,15.8,236.0,61,1.0,304,264,1,False,enemy,False,387,0,0,1,1
61,21697,186.1,ppo_cnn,1-1,30.6,458.0,1999,3.0,910,870,3,False,timeout,False,0,0,300,1,1
62,21762,186.6,ppo_cnn,4-1,17.6667,265.0,65,1.0,334,297,1,False,enemy,False,387,0,0,1,1
63,21814,187.0,ppo_cnn,1-1,14.1333,212.0,52,0.0,272,232,0,False,enemy,False,389,1,200,1,1
64,21856,187.3,ppo_cnn,5-1,12.5333,188.0,42,0.0,252,212,0,False,enemy,False,292,0,100,1,1
65,23316,198.5,ppo_cnn,3-1,28.4667,426.0,1460,2.0,744,704,2,False,pit,False,108,2,1900,1,1
66,23578,200.6,ppo_cnn,4-1,15.0,225.0,262,1.0,333,293,1,False,enemy,False,347,0,0,1,1
67,23879,202.9,ppo_cnn,4-1,13.8667,208.0,301,1.0,323,283,1,False,enemy,False,340,0,0,1,1
68,23908,203.2,ppo_cnn,5-1,6.5333,98.0,29,0.0,161,121,0,False,enemy,False,294,0,0,1,1
69,24023,204.1,ppo_cnn,1-1,7.1333,107.0,115,0.0,185,145,0,False,enemy,False,377,0,0,1,1
70,24230,205.7,ppo_cnn,1-1,40.4667,606.0,207,2.0,697,657,2,False,enemy,False,358,1,300,1,1
71,24324,206.4,ppo_cnn,1-3,33.7333,505.0,94,2.0,573,533,2,False,pit,False,281,1,200,1,4
72,24348,206.6,ppo_cnn,5-1,7.5333,112.0,24,0.0,173,133,0,False,enemy,False,295,0,0,1,1
73,24413,207.1,ppo_cnn,3-1,23.6,355.0,65,1.0,414,386,1,False,enemy,False,387,1,600,1,1
74,24483,207.7,ppo_cnn,2-1,18.0667,271.0,70,1.0,340,300,1,False,enemy,False,386,0,0,1,1
75,25548,216.8,ppo_cnn,1-1,76.5333,1148.0,1065,5.0,1410,1402,5,False,pit,False,187,0,600,1,1
76,25757,218.4,ppo_cnn,2-1,25.9333,388.0,209,1.0,487,447,1,False,enemy,False,357,0,100,1,1
77,25803,218.8,ppo_cnn,1-1,16.2667,244.0,46,1.0,311,271,1,False,enemy,False,391,0,0,1,1
78,26899,227.0,ppo_cnn,1-1,56.9333,854.0,1096,4.0,1125,1125,4,False,pit,False,181,0,300,1,1
79,27479,231.4,ppo_cnn,1-1,42.2667,634.0,580,3.0,804,779,3,False,enemy,False,284,0,200,1,1
80,27549,231.9,ppo_cnn,1-3,20.1333,302.0,70,1.0,371,331,1,False,pit,False,286,0,0,1,4
81,27633,232.5,ppo_cnn,3-1,16.4,246.0,84,1.0,312,272,1,False,enemy,False,384,1,200,1,1
82,27770,233.6,ppo_cnn,4-1,19.9333,299.0,137,1.0,383,343,1,False,enemy,False,373,0,0,1,1
83,27916,234.7,ppo_cnn,4-1,30.5333,457.0,146,1.0,544,506,1,False,pit,False,370,0,0,1,1
84,28001,235.4,ppo_cnn,1-3,13.5333,203.0,85,1.0,277,277,1,False,pit,False,283,0,0,1,4
85,28291,237.7,ppo_cnn,4-1,14.0667,210.0,290,1.0,323,283,1,False,enemy,False,342,0,0,1,1
86,28313,237.9,ppo_cnn,5-1,8.2,123.0,22,0.0,184,144,0,False,enemy,False,296,0,0,1,1
87,28383,238.5,ppo_cnn,4-1,31.5333,473.0,70,1.0,544,506,1,False,pit,False,386,0,0,1,1
88,28691,242.2,ppo_cnn,4-1,28.1333,422.0,308,2.0,540,524,2,False,pit,False,338,0,0,1,1
89,28764,242.8,ppo_cnn,4-1,17.7333,266.0,73,1.0,338,298,1,False,enemy,False,385,0,0,1,1
90,28963,244.4,ppo_cnn,4-1,25.2,378.0,199,1.0,474,434,1,False,enemy,False,361,0,0,1,1
91,30092,253.1,ppo_cnn,3-1,54.0,810.0,1129,3.0,1053,1013,3,False,enemy,False,180,1,2700,1,1
92,30131,253.4,ppo_cnn,5-1,13.0667,196.0,39,0.0,260,220,0,False,enemy,False,292,0,0,1,1
93,30170,253.7,ppo_cnn,5-1,12.9333,194.0,39,0.0,257,217,0,False,enemy,False,292,0,0,1,1
94,30262,254.4,ppo_cnn,3-1,21.2,317.0,92,1.0,386,362,1,False,enemy,False,381,1,200,1,1
95,30397,255.5,ppo_cnn,4-1,20.7333,311.0,135,1.0,396,356,1,False,enemy,False,373,0,0,1,1
96,30439,255.8,ppo_cnn,1-1,16.0,240.0,42,1.0,306,266,1,False,enemy,False,392,0,0,1,1
97,30523,256.4,ppo_cnn,3-1,13.8667,208.0,84,0.0,273,233,0,False,enemy,False,384,1,200,1,1
98,30548,256.7,ppo_cnn,5-1,6.9333,103.0,25,0.0,166,126,0,False,enemy,False,294,0,0,1,1
99,30649,257.5,ppo_cnn,4-1,30.8,462.0,101,1.0,530,490,1,False,pit,False,380,1,200,1,1
100,30692,257.8,ppo_cnn,1-3,16.5333,247.0,43,1.0,314,274,1,False,pit,False,291,0,0,1,4
101,30725,258.1,ppo_cnn,1-3,16.4667,246.0,33,1.0,312,272,1,False,pit,False,292,0,0,1,4
102,32412,270.8,ppo_cnn,1-1,49.9333,748.0,1687,4.0,1139,1099,4,False,pit,False,62,0,400,1,1
103,32476,271.3,ppo_cnn,2-1,14.8,222.0,64,0.0,291,251,0,False,enemy,False,387,0,0,1,1
104,32622,272.4,ppo_cnn,1-1,39.6667,594.0,146,2.0,679,639,2,False,enemy,False,370,0,100,1,1
105,32745,273.4,ppo_cnn,5-1,41.6667,625.0,123,2.0,703,663,2,False,enemy,False,275,0,500,1,1
106,32823,275.4,ppo_cnn,3-1,14.5333,217.0,78,0.0,289,249,0,False,enemy,False,384,0,0,1,1
107,32852,275.7,ppo_cnn,5-1,7.2667,109.0,29,0.0,172,132,0,False,enemy,False,294,0,0,1,1
108,32952,276.5,ppo_cnn,4-1,17.2,258.0,100,1.0,334,294,1,False,enemy,False,380,0,0,1,1
109,33041,277.1,ppo_cnn,4-1,30.7333,461.0,89,1.0,533,493,1,False,pit,False,383,0,0,1,1
110,33143,277.9,ppo_cnn,4-1,21.2,318.0,102,1.0,395,355,1,False,enemy,False,380,0,0,1,1
